CVE	Problem
CVE-2025-23909	CWE-79
CVE-2025-23910	CWE-89
CVE-2025-23911	CWE-89
CVE-2025-23912	CWE-89
CVE-2025-23913	CWE-89
CVE-2025-23914	CWE-502
CVE-2025-23915	CWE-98
CVE-2025-23916	CWE-862
CVE-2025-23917	CWE-862
CVE-2025-23918	CWE-434
CVE-2025-23919	CWE-80
CVE-2025-23920	CWE-79
CVE-2025-23921	CWE-434
CVE-2025-23922	CWE-352
CVE-2025-23923	CWE-79
CVE-2025-23924	CWE-79
CVE-2025-23925	CWE-79
CVE-2025-23926	CWE-79
CVE-2025-23927	CWE-79
CVE-2025-23928	CWE-79
CVE-2025-23929	CWE-862
CVE-2025-23930	CWE-862
CVE-2025-23931	CWE-89
CVE-2025-23932	CWE-502
CVE-2025-23933	CWE-79
CVE-2025-23934	CWE-79
CVE-2025-23936	CWE-79
CVE-2025-23938	CWE-98
CVE-2025-23939	CWE-79
CVE-2025-23940	CWE-79
CVE-2025-23941	CWE-79
CVE-2025-23942	CWE-434
CVE-2025-23943	CWE-79
CVE-2025-23944	CWE-502
CVE-2025-23945	CWE-98
CVE-2025-23946	CWE-79
CVE-2025-23947	CWE-79
CVE-2025-23948	CWE-98
CVE-2025-23949	CWE-98
CVE-2025-23950	CWE-79
CVE-2025-23951	CWE-79
CVE-2025-23953	CWE-434
CVE-2025-23954	CWE-862
CVE-2025-23955	CWE-862
CVE-2025-23956	CWE-79
CVE-2025-23957	CWE-862
CVE-2025-23959	CWE-79
CVE-2025-23960	CWE-79
CVE-2025-23961	CWE-862
CVE-2025-23962	CWE-862
CVE-2025-23963	CWE-862
CVE-2025-23965	CWE-79
CVE-2025-23966	CWE-79
CVE-2025-23975	CWE-79
CVE-2025-23976	CWE-352
CVE-2025-23977	CWE-352
CVE-2025-23978	CWE-352
CVE-2025-23980	CWE-352
CVE-2025-23982	CWE-862
CVE-2025-23984	CWE-79
CVE-2025-23985	CWE-352
CVE-2025-23987	CWE-79
CVE-2025-23989	CWE-352
CVE-2025-23990	CWE-352
CVE-2025-23991	CWE-862
CVE-2025-23992	CWE-79
CVE-2025-23994	CWE-79
CVE-2025-23996	CWE-352
CVE-2025-23997	CWE-79
CVE-2025-23998	CWE-79
CVE-2025-24001	CWE-352
CVE-2025-24010	CWE-346
CVE-2025-24010	CWE-350
CVE-2025-24010	CWE-1385
CVE-2025-24011	CWE-203
CVE-2025-24012	CWE-79
CVE-2025-24013	CWE-436
CVE-2025-24016	CWE-502
CVE-2025-24019	CWE-22
CVE-2025-24020	CWE-601
CVE-2025-24023	CWE-203
CVE-2025-24023	CWE-204
CVE-2025-24024	CWE-671
CVE-2025-24027	CWE-79
CVE-2025-24029	CWE-280
CVE-2025-24030	CWE-419
CVE-2025-24031	CWE-476
CVE-2025-24033	CWE-770
CVE-2025-24034	CWE-532
CVE-2025-24035	CWE-591
CVE-2025-24036	NVD-CWE-noinfo
CVE-2025-24039	CWE-427
CVE-2025-24042	CWE-284
CVE-2025-24043	CWE-347
CVE-2025-24044	CWE-416
CVE-2025-24045	CWE-591
CVE-2025-24046	CWE-416
CVE-2025-24048	CWE-125
CVE-2025-24048	CWE-122
CVE-2025-24049	CWE-77
CVE-2025-24050	CWE-125
CVE-2025-24050	CWE-122
CVE-2025-24051	CWE-122
CVE-2025-24054	CWE-73
CVE-2025-24055	CWE-125
CVE-2025-24056	CWE-122
CVE-2025-24057	CWE-122
CVE-2025-24059	CWE-125
CVE-2025-24059	CWE-681
CVE-2025-24061	CWE-693
CVE-2025-24064	CWE-416
CVE-2025-24066	CWE-122
CVE-2025-24067	CWE-122
CVE-2025-24070	CWE-1390
CVE-2025-24071	CWE-200
CVE-2025-24072	CWE-416
CVE-2025-24075	CWE-121
CVE-2025-24076	CWE-284
CVE-2025-24077	CWE-416
CVE-2025-24078	CWE-416
CVE-2025-24079	CWE-416
CVE-2025-24080	CWE-416
CVE-2025-24081	CWE-416
CVE-2025-24082	CWE-416
CVE-2025-24083	CWE-822
CVE-2025-24084	CWE-822
CVE-2025-24085	CWE-416
CVE-2025-24086	NVD-CWE-noinfo
CVE-2025-24087	CWE-281
CVE-2025-24094	CWE-362
CVE-2025-24096	NVD-CWE-noinfo
CVE-2025-24100	NVD-CWE-noinfo
CVE-2025-24104	CWE-59
CVE-2025-24107	NVD-CWE-noinfo
CVE-2025-24112	NVD-CWE-noinfo
CVE-2025-24113	NVD-CWE-noinfo
CVE-2025-24114	NVD-CWE-noinfo
CVE-2025-24116	NVD-CWE-noinfo
CVE-2025-24117	CWE-922
CVE-2025-24120	NVD-CWE-noinfo
CVE-2025-24127	NVD-CWE-noinfo
CVE-2025-24128	NVD-CWE-noinfo
CVE-2025-24129	CWE-843
CVE-2025-24131	NVD-CWE-noinfo
CVE-2025-24136	CWE-59
CVE-2025-24140	NVD-CWE-noinfo
CVE-2025-24141	NVD-CWE-noinfo
CVE-2025-24143	NVD-CWE-noinfo
CVE-2025-24145	CWE-532
CVE-2025-24150	CWE-77
CVE-2025-24152	NVD-CWE-noinfo
CVE-2025-24153	CWE-120
CVE-2025-24156	CWE-190
CVE-2025-24161	NVD-CWE-noinfo
CVE-2025-24169	NVD-CWE-Other
CVE-2025-24177	CWE-476
CVE-2025-24200	CWE-863
CVE-2025-24301	CWE-416
CVE-2025-24309	CWE-787
CVE-2025-24312	CWE-770
CVE-2025-24316	CWE-213
CVE-2025-24318	CWE-1004
CVE-2025-24319	CWE-20
CVE-2025-24320	CWE-79
CVE-2025-24326	CWE-787
CVE-2025-24336	CWE-237
CVE-2025-24353	CWE-269
CVE-2025-24354	CWE-918
CVE-2025-24355	CWE-359
CVE-2025-24356	CWE-405
CVE-2025-24357	CWE-502
CVE-2025-24359	CWE-134
CVE-2025-24359	CWE-749
CVE-2025-24360	CWE-200
CVE-2025-24361	CWE-749
CVE-2025-24362	CWE-532
CVE-2025-24363	CWE-200
CVE-2025-24364	CWE-74
CVE-2025-24365	CWE-284
CVE-2025-24366	CWE-78
CVE-2025-24369	CWE-807
CVE-2025-24370	CWE-915
CVE-2025-24371	CWE-703
CVE-2025-24372	CWE-79
CVE-2025-24373	NVD-CWE-noinfo
CVE-2025-24374	CWE-74
CVE-2025-24376	CWE-285
CVE-2025-24376	CWE-155
CVE-2025-24408	NVD-CWE-noinfo
CVE-2025-24409	NVD-CWE-noinfo
CVE-2025-24411	NVD-CWE-noinfo
CVE-2025-24418	NVD-CWE-noinfo
CVE-2025-24422	NVD-CWE-noinfo
CVE-2025-24423	NVD-CWE-noinfo
CVE-2025-24424	NVD-CWE-noinfo
CVE-2025-24425	NVD-CWE-noinfo
CVE-2025-24426	NVD-CWE-noinfo
CVE-2025-24427	NVD-CWE-noinfo
CVE-2025-24429	NVD-CWE-noinfo
CVE-2025-24431	CWE-125
CVE-2025-24434	CWE-863
CVE-2025-24435	NVD-CWE-noinfo
CVE-2025-24436	NVD-CWE-noinfo
CVE-2025-24437	NVD-CWE-noinfo
CVE-2025-24439	CWE-122
CVE-2025-24440	CWE-787
CVE-2025-24441	CWE-787
CVE-2025-24442	CWE-787
CVE-2025-24443	CWE-122
CVE-2025-24444	CWE-787
CVE-2025-24445	CWE-787
CVE-2025-24448	CWE-125
CVE-2025-24449	CWE-125
CVE-2025-24450	CWE-787
CVE-2025-24451	CWE-787
CVE-2025-24452	CWE-787
CVE-2025-24453	CWE-122
CVE-2025-24456	CWE-306
CVE-2025-24457	CWE-532
CVE-2025-24458	CWE-290
CVE-2025-24459	CWE-79
CVE-2025-24460	CWE-863
CVE-2025-24461	CWE-862
CVE-2025-24470	CWE-41
CVE-2025-24472	CWE-288
CVE-2025-24483	CWE-476
CVE-2025-24494	CWE-22
CVE-2025-24497	CWE-125
CVE-2025-24499	CWE-20
CVE-2025-24521	CWE-611
CVE-2025-24532	CWE-284
CVE-2025-24533	CWE-352
CVE-2025-24534	CWE-79
CVE-2025-24535	CWE-79
CVE-2025-24536	CWE-79
CVE-2025-24537	CWE-352
CVE-2025-24538	CWE-352
CVE-2025-24540	CWE-352
CVE-2025-24541	CWE-79
CVE-2025-24542	CWE-79
CVE-2025-24543	CWE-352
CVE-2025-24544	CWE-79
CVE-2025-24545	CWE-79
CVE-2025-24546	CWE-352
CVE-2025-24547	CWE-79
CVE-2025-24549	CWE-352
CVE-2025-24551	CWE-79
CVE-2025-24552	CWE-209
CVE-2025-24554	CWE-79
CVE-2025-24555	CWE-352
CVE-2025-24556	CWE-532
CVE-2025-24557	CWE-79
CVE-2025-24558	CWE-79
CVE-2025-24559	CWE-79
CVE-2025-24560	CWE-79
CVE-2025-24561	CWE-352
CVE-2025-24562	CWE-352
CVE-2025-24563	CWE-79
CVE-2025-24564	CWE-79
CVE-2025-24565	CWE-79
CVE-2025-24566	CWE-79
CVE-2025-24567	CWE-201
CVE-2025-24568	CWE-352
CVE-2025-24569	CWE-22
CVE-2025-24570	CWE-79
CVE-2025-24571	CWE-862
CVE-2025-24572	CWE-352
CVE-2025-24573	CWE-79
CVE-2025-24574	CWE-79
CVE-2025-24575	CWE-79
CVE-2025-24576	CWE-79
CVE-2025-24578	CWE-79
CVE-2025-24579	CWE-79
CVE-2025-24580	CWE-862
CVE-2025-24582	CWE-201
CVE-2025-24584	CWE-862
CVE-2025-24585	CWE-79
CVE-2025-24587	CWE-89
CVE-2025-24588	CWE-862
CVE-2025-24589	CWE-862
CVE-2025-24590	CWE-862
CVE-2025-24591	CWE-862
CVE-2025-24592	CWE-79
CVE-2025-24593	CWE-79
CVE-2025-24594	CWE-862
CVE-2025-24595	CWE-79
CVE-2025-24596	CWE-862
CVE-2025-24597	CWE-201
CVE-2025-24598	CWE-79
CVE-2025-24599	CWE-79
CVE-2025-24600	CWE-862
CVE-2025-24601	CWE-502
CVE-2025-24602	CWE-79
CVE-2025-24603	CWE-862
CVE-2025-24604	CWE-862
CVE-2025-24605	CWE-22
CVE-2025-24606	CWE-862
CVE-2025-24607	CWE-862
CVE-2025-24608	CWE-79
CVE-2025-24609	CWE-79
CVE-2025-24610	CWE-79
CVE-2025-24611	CWE-22
CVE-2025-24612	CWE-89
CVE-2025-24613	CWE-862
CVE-2025-24614	CWE-79
CVE-2025-24615	CWE-79
CVE-2025-24616	CWE-79
CVE-2025-24617	CWE-79
CVE-2025-24618	CWE-862
CVE-2025-24620	CWE-79
CVE-2025-24622	CWE-352
CVE-2025-24623	CWE-352
CVE-2025-24625	CWE-862
CVE-2025-24626	CWE-79
CVE-2025-24627	CWE-79
CVE-2025-24628	CWE-290
CVE-2025-24629	CWE-79
CVE-2025-24630	CWE-79
CVE-2025-24631	CWE-79
CVE-2025-24632	CWE-79
CVE-2025-24634	CWE-79
CVE-2025-24635	CWE-79
CVE-2025-24636	CWE-352
CVE-2025-24638	CWE-79
CVE-2025-24639	CWE-201
CVE-2025-24641	CWE-79
CVE-2025-24642	CWE-862
CVE-2025-24643	CWE-862
CVE-2025-24644	CWE-79
CVE-2025-24646	CWE-79
CVE-2025-24647	CWE-352
CVE-2025-24648	CWE-266
CVE-2025-24649	CWE-862
CVE-2025-24650	CWE-434
CVE-2025-24652	CWE-862
CVE-2025-24653	CWE-862
CVE-2025-24654	CWE-862
CVE-2025-24656	CWE-79
CVE-2025-24657	CWE-79
CVE-2025-24658	CWE-79
CVE-2025-24659	CWE-89
CVE-2025-24660	CWE-79
CVE-2025-24661	CWE-502
CVE-2025-24662	CWE-862
CVE-2025-24663	CWE-89
CVE-2025-24664	CWE-89
CVE-2025-24665	CWE-89
CVE-2025-24666	CWE-79
CVE-2025-24667	CWE-89
CVE-2025-24668	CWE-79
CVE-2025-24669	CWE-89
CVE-2025-24671	CWE-502
CVE-2025-24672	CWE-89
CVE-2025-24673	CWE-80
CVE-2025-24674	CWE-79
CVE-2025-24675	CWE-79
CVE-2025-24676	CWE-79
CVE-2025-24677	CWE-94
CVE-2025-24678	CWE-80
CVE-2025-24679	CWE-862
CVE-2025-24680	CWE-79
CVE-2025-24681	CWE-79
CVE-2025-24682	CWE-862
CVE-2025-24683	CWE-89
CVE-2025-24684	CWE-79
CVE-2025-24685	CWE-35
CVE-2025-24686	CWE-79
CVE-2025-24687	CWE-79
CVE-2025-24688	CWE-79
CVE-2025-24689	CWE-538
CVE-2025-24691	CWE-862
CVE-2025-24692	CWE-862
CVE-2025-24693	CWE-862
CVE-2025-24694	CWE-79
CVE-2025-24695	CWE-918
CVE-2025-24696	CWE-352
CVE-2025-24697	CWE-862
CVE-2025-24698	CWE-352
CVE-2025-24699	CWE-352
CVE-2025-24700	CWE-79
CVE-2025-24701	CWE-918
CVE-2025-24702	CWE-79
CVE-2025-24703	CWE-918
CVE-2025-24704	CWE-79
CVE-2025-24705	CWE-862
CVE-2025-24706	CWE-79
CVE-2025-24707	CWE-79
CVE-2025-24708	CWE-79
CVE-2025-24709	CWE-79
CVE-2025-24710	CWE-79
CVE-2025-24711	CWE-352
CVE-2025-24712	CWE-352
CVE-2025-24713	CWE-352
CVE-2025-24714	CWE-352
CVE-2025-24715	CWE-352
CVE-2025-24716	CWE-352
CVE-2025-24717	CWE-352
CVE-2025-24718	CWE-79
CVE-2025-24719	CWE-79
CVE-2025-24720	CWE-352
CVE-2025-24721	CWE-79
CVE-2025-24722	CWE-79
CVE-2025-24723	CWE-79
CVE-2025-24724	CWE-352
CVE-2025-24725	CWE-862
CVE-2025-24726	CWE-79
CVE-2025-24727	CWE-79
CVE-2025-24728	CWE-89
CVE-2025-24729	CWE-79
CVE-2025-24730	CWE-79
CVE-2025-24731	CWE-79
CVE-2025-24732	CWE-79
CVE-2025-24733	CWE-98
CVE-2025-24734	CWE-862
CVE-2025-24736	CWE-862
CVE-2025-24738	CWE-352
CVE-2025-24739	CWE-352
CVE-2025-24740	CWE-601
CVE-2025-24741	CWE-601
CVE-2025-24742	CWE-352
CVE-2025-24743	CWE-862
CVE-2025-24744	CWE-862
CVE-2025-24746	CWE-79
CVE-2025-24747	CWE-862
CVE-2025-24749	CWE-352
CVE-2025-24750	CWE-862
CVE-2025-24751	CWE-862
CVE-2025-24753	CWE-862
CVE-2025-24754	CWE-862
CVE-2025-24755	CWE-79
CVE-2025-24756	CWE-352
CVE-2025-24758	CWE-79
CVE-2025-24781	CWE-79
CVE-2025-24782	NVD-CWE-Other
CVE-2025-24782	CWE-98
CVE-2025-24784	CWE-285
CVE-2025-24788	CWE-276
CVE-2025-24789	CWE-426
CVE-2025-24790	CWE-276
CVE-2025-24791	CWE-281
CVE-2025-24792	CWE-195
CVE-2025-24793	CWE-89
CVE-2025-24794	CWE-502
CVE-2025-24795	CWE-276
CVE-2025-24796	CWE-829
CVE-2025-24800	CWE-347
CVE-2025-24800	CWE-670
CVE-2025-24802	CWE-1240
CVE-2025-24803	CWE-79
CVE-2025-24804	CWE-1287
CVE-2025-24805	CWE-269
CVE-2025-24806	CWE-307
CVE-2025-24807	CWE-345
CVE-2025-24810	CWE-79
CVE-2025-24811	CWE-404
CVE-2025-24812	CWE-1286
CVE-2025-24826	CWE-276
CVE-2025-24827	CWE-426
CVE-2025-24828	CWE-426
CVE-2025-24829	CWE-426
CVE-2025-24830	CWE-426
CVE-2025-24831	CWE-428
CVE-2025-24832	CWE-61
CVE-2025-24836	CWE-248
CVE-2025-24841	CWE-79
CVE-2025-24843	CWE-921
CVE-2025-24845	CWE-88
CVE-2025-24846	CWE-288
CVE-2025-24849	CWE-319
CVE-2025-24861	CWE-77
CVE-2025-24864	CWE-276
CVE-2025-24865	CWE-306
CVE-2025-24867	CWE-79
CVE-2025-24868	CWE-601
CVE-2025-24869	CWE-863
CVE-2025-24870	CWE-921
CVE-2025-24872	CWE-863
CVE-2025-24874	CWE-1021
CVE-2025-24875	CWE-352
CVE-2025-24876	CWE-302
CVE-2025-24876	CWE-1287
CVE-2025-24882	CWE-20
CVE-2025-24882	CWE-345
CVE-2025-24883	CWE-248
CVE-2025-24884	CWE-200
CVE-2025-24884	CWE-532
CVE-2025-24884	CWE-212
CVE-2025-24885	CWE-79
CVE-2025-24885	CWE-284
CVE-2025-24886	CWE-200
CVE-2025-24886	CWE-61
CVE-2025-24888	CWE-22
CVE-2025-24889	CWE-22
CVE-2025-24891	CWE-22
CVE-2025-24891	CWE-276
CVE-2025-24892	CWE-79
CVE-2025-24893	CWE-95
CVE-2025-24894	CWE-287
CVE-2025-24895	CWE-287
CVE-2025-24896	CWE-613
CVE-2025-24897	CWE-352
CVE-2025-24897	CWE-614
CVE-2025-24897	CWE-1275
CVE-2025-24899	CWE-200
CVE-2025-24900	CWE-352
CVE-2025-24901	CWE-89
CVE-2025-24902	CWE-89
CVE-2025-24903	CWE-345
CVE-2025-24904	CWE-287
CVE-2025-24904	CWE-74
CVE-2025-24905	CWE-89
CVE-2025-24906	CWE-89
CVE-2025-24912	CWE-826
CVE-2025-24924	CWE-306
CVE-2025-24956	CWE-120
CVE-2025-24957	CWE-89
CVE-2025-24958	CWE-89
CVE-2025-24959	CWE-94
CVE-2025-24960	CWE-22
CVE-2025-24961	CWE-22
CVE-2025-24962	CWE-74
CVE-2025-24963	CWE-22
CVE-2025-24964	CWE-1385
CVE-2025-24965	CWE-22
CVE-2025-24966	CWE-79
CVE-2025-24967	CWE-79
CVE-2025-24968	CWE-284
CVE-2025-24973	CWE-613
CVE-2025-24976	CWE-639
CVE-2025-24981	CWE-79
CVE-2025-24982	CWE-352
CVE-2025-24983	CWE-416
CVE-2025-24984	CWE-532
CVE-2025-24985	CWE-190
CVE-2025-24985	CWE-122
CVE-2025-24986	CWE-653
CVE-2025-24987	CWE-125
CVE-2025-24988	CWE-125
CVE-2025-24989	NVD-CWE-noinfo
CVE-2025-24991	CWE-125
CVE-2025-24992	CWE-126
CVE-2025-24993	CWE-122
CVE-2025-24994	CWE-284
CVE-2025-24995	CWE-122
CVE-2025-24996	CWE-73
CVE-2025-24997	CWE-476
CVE-2025-24998	CWE-427
CVE-2025-25003	CWE-427
CVE-2025-25008	CWE-59
CVE-2025-25054	CWE-79
CVE-2025-25055	CWE-290
CVE-2025-25067	CWE-78
CVE-2025-25070	CWE-79
CVE-2025-25071	CWE-352
CVE-2025-25072	CWE-352
CVE-2025-25073	CWE-79
CVE-2025-25074	CWE-352
CVE-2025-25075	CWE-352
CVE-2025-25076	CWE-79
CVE-2025-25077	CWE-79
CVE-2025-25078	CWE-79
CVE-2025-25079	CWE-79
CVE-2025-25080	CWE-79
CVE-2025-25081	CWE-862
CVE-2025-25082	CWE-79
CVE-2025-25083	CWE-79
CVE-2025-25084	CWE-79
CVE-2025-25085	CWE-79
CVE-2025-25087	CWE-79
CVE-2025-25088	CWE-352
CVE-2025-25089	CWE-79
CVE-2025-25090	CWE-79
CVE-2025-25091	CWE-79
CVE-2025-25092	CWE-79
CVE-2025-25093	CWE-352
CVE-2025-25094	CWE-79
CVE-2025-25095	CWE-79
CVE-2025-25096	CWE-79
CVE-2025-25097	CWE-79
CVE-2025-25098	CWE-79
CVE-2025-25099	CWE-79
CVE-2025-25101	CWE-352
CVE-2025-25102	CWE-79
CVE-2025-25103	CWE-352
CVE-2025-25104	CWE-352
CVE-2025-25105	CWE-79
CVE-2025-25106	CWE-352
CVE-2025-25107	CWE-352
CVE-2025-25108	CWE-79
CVE-2025-25109	CWE-98
CVE-2025-25110	CWE-862
CVE-2025-25111	CWE-352
CVE-2025-25112	CWE-89
CVE-2025-25113	CWE-79
CVE-2025-25114	CWE-79
CVE-2025-25115	CWE-79
CVE-2025-25116	CWE-89
CVE-2025-25117	CWE-79
CVE-2025-25118	CWE-79
CVE-2025-25119	CWE-79
CVE-2025-25120	CWE-862
CVE-2025-25121	CWE-79
CVE-2025-25122	CWE-35
CVE-2025-25123	CWE-352
CVE-2025-25124	CWE-79
CVE-2025-25125	CWE-352
CVE-2025-25126	CWE-352
CVE-2025-25127	CWE-79
CVE-2025-25128	CWE-352
CVE-2025-25129	CWE-79
CVE-2025-25130	CWE-23
CVE-2025-25131	CWE-79
CVE-2025-25132	CWE-79
CVE-2025-25133	CWE-79
CVE-2025-25135	CWE-352
CVE-2025-25136	CWE-79
CVE-2025-25137	CWE-79
CVE-2025-25138	CWE-352
CVE-2025-25139	CWE-352
CVE-2025-25140	CWE-352
CVE-2025-25141	CWE-98
CVE-2025-25142	CWE-79
CVE-2025-25143	CWE-352
CVE-2025-25144	CWE-79
CVE-2025-25145	CWE-352
CVE-2025-25146	CWE-352
CVE-2025-25147	CWE-352
CVE-2025-25148	CWE-352
CVE-2025-25149	CWE-352
CVE-2025-25150	CWE-89
CVE-2025-25151	CWE-89
CVE-2025-25152	CWE-352
CVE-2025-25153	CWE-352
CVE-2025-25154	CWE-352
CVE-2025-25155	CWE-22
CVE-2025-25156	CWE-352
CVE-2025-25157	CWE-79
CVE-2025-25158	CWE-79
CVE-2025-25159	CWE-79
CVE-2025-25160	CWE-352
CVE-2025-25161	CWE-79
CVE-2025-25162	CWE-22
CVE-2025-25163	CWE-22
CVE-2025-25164	CWE-79
CVE-2025-25165	CWE-79
CVE-2025-25166	CWE-352
CVE-2025-25167	CWE-862
CVE-2025-25168	CWE-352
CVE-2025-25169	CWE-79
CVE-2025-25170	CWE-79
CVE-2025-25182	CWE-290
CVE-2025-25183	CWE-354
CVE-2025-25185	CWE-59
CVE-2025-25186	CWE-405
CVE-2025-25186	CWE-400
CVE-2025-25186	CWE-409
CVE-2025-25186	CWE-770
CVE-2025-25186	CWE-789
CVE-2025-25186	CWE-1287
CVE-2025-25188	CWE-345
CVE-2025-25191	CWE-79
CVE-2025-25192	CWE-200
CVE-2025-25194	CWE-918
CVE-2025-25195	CWE-200
CVE-2025-25196	CWE-285
CVE-2025-25198	CWE-601
CVE-2025-25199	CWE-401
CVE-2025-25200	CWE-1333
CVE-2025-25201	CWE-287
CVE-2025-25202	CWE-269
CVE-2025-25203	CWE-79
CVE-2025-25204	CWE-390
CVE-2025-25205	CWE-287
CVE-2025-25205	CWE-400
CVE-2025-25205	CWE-202
CVE-2025-25206	CWE-89
CVE-2025-25221	CWE-89
CVE-2025-25222	CWE-89
CVE-2025-25223	CWE-22
CVE-2025-25224	CWE-306
CVE-2025-25241	CWE-862
CVE-2025-25242	CWE-79
CVE-2025-25243	CWE-22
CVE-2025-25244	CWE-862
CVE-2025-25245	CWE-79
CVE-2025-25266	CWE-552
CVE-2025-25267	CWE-552
CVE-2025-25280	CWE-120
CVE-2025-25281	CWE-200
CVE-2025-25283	CWE-1333
CVE-2025-25284	CWE-22
CVE-2025-25285	CWE-1333
CVE-2025-25286	CWE-150
CVE-2025-25286	CWE-157
CVE-2025-25287	CWE-79
CVE-2025-25288	CWE-1333
CVE-2025-25289	CWE-1333
CVE-2025-25290	CWE-1333
CVE-2025-25294	CWE-117
CVE-2025-25295	CWE-22
CVE-2025-25295	CWE-26
CVE-2025-25296	CWE-79
CVE-2025-25297	CWE-918
CVE-2025-25299	CWE-79
CVE-2025-25299	CWE-80
CVE-2025-25300	CWE-79
CVE-2025-25300	CWE-601
CVE-2025-25301	CWE-918
CVE-2025-25302	CWE-346
CVE-2025-25303	CWE-918
CVE-2025-25304	CWE-79
CVE-2025-25305	CWE-940
CVE-2025-25306	CWE-346
CVE-2025-25306	CWE-441
CVE-2025-25306	CWE-1025
CVE-2025-25343	CWE-120
CVE-2025-25349	CWE-89
CVE-2025-25351	CWE-89
CVE-2025-25352	CWE-89
CVE-2025-25354	CWE-89
CVE-2025-25355	CWE-89
CVE-2025-25356	CWE-89
CVE-2025-25357	CWE-89
CVE-2025-25742	CWE-787
CVE-2025-25743	CWE-77
CVE-2025-25744	CWE-787
CVE-2025-25746	CWE-787
CVE-2025-25897	CWE-787
CVE-2025-25898	CWE-787
CVE-2025-25901	CWE-787
CVE-2025-26339	CWE-306
CVE-2025-26340	CWE-321
CVE-2025-26341	CWE-306
CVE-2025-26342	CWE-306
CVE-2025-26343	CWE-1390
CVE-2025-26344	CWE-306
CVE-2025-26345	CWE-306
CVE-2025-26346	CWE-89
CVE-2025-26347	CWE-306
CVE-2025-26348	CWE-89
CVE-2025-26349	CWE-23
CVE-2025-26350	CWE-434
CVE-2025-26351	CWE-35
CVE-2025-26352	CWE-35
CVE-2025-26353	CWE-35
CVE-2025-26354	CWE-35
CVE-2025-26355	CWE-35
CVE-2025-26356	CWE-35
CVE-2025-26357	CWE-35
CVE-2025-26358	CWE-20
CVE-2025-26359	CWE-306
CVE-2025-26360	CWE-306
CVE-2025-26361	CWE-306
CVE-2025-26362	CWE-306
CVE-2025-26363	CWE-306
CVE-2025-26364	CWE-306
CVE-2025-26365	CWE-306
CVE-2025-26366	CWE-306
CVE-2025-26367	CWE-862
CVE-2025-26368	CWE-862
CVE-2025-26369	CWE-862
CVE-2025-26370	CWE-862
CVE-2025-26371	CWE-862
CVE-2025-26372	CWE-862
CVE-2025-26373	CWE-862
CVE-2025-26374	CWE-862
CVE-2025-26375	CWE-862
CVE-2025-26376	CWE-862
CVE-2025-26377	CWE-862
CVE-2025-26378	CWE-862
CVE-2025-26473	CWE-598
CVE-2025-26492	CWE-522
CVE-2025-26493	CWE-79
CVE-2025-26522	CWE-302
CVE-2025-26523	CWE-266
CVE-2025-26524	CWE-799
CVE-2025-26534	CWE-22
CVE-2025-26535	CWE-89
CVE-2025-26538	CWE-79
CVE-2025-26539	CWE-79
CVE-2025-26540	CWE-22
CVE-2025-26543	CWE-352
CVE-2025-26545	CWE-352
CVE-2025-26547	CWE-352
CVE-2025-26549	CWE-352
CVE-2025-26550	CWE-352
CVE-2025-26551	CWE-79
CVE-2025-26552	CWE-79
CVE-2025-26557	CWE-79
CVE-2025-26558	CWE-79
CVE-2025-26561	CWE-79
CVE-2025-26562	CWE-352
CVE-2025-26563	CWE-79
CVE-2025-26567	CWE-79
CVE-2025-26568	CWE-352
CVE-2025-26569	CWE-352
CVE-2025-26570	CWE-352
CVE-2025-26571	CWE-352
CVE-2025-26572	CWE-352
CVE-2025-26574	CWE-79
CVE-2025-26577	CWE-352
CVE-2025-26578	CWE-352
CVE-2025-26580	CWE-352
CVE-2025-26582	CWE-352
CVE-2025-26585	CWE-79
CVE-2025-26586	CWE-79
CVE-2025-26587	CWE-79
CVE-2025-26588	CWE-79
CVE-2025-26589	CWE-79
CVE-2025-26604	CWE-200
CVE-2025-26606	CWE-89
CVE-2025-26606	CWE-284
CVE-2025-26607	CWE-89
CVE-2025-26607	CWE-284
CVE-2025-26608	CWE-89
CVE-2025-26608	CWE-284
CVE-2025-26609	CWE-89
CVE-2025-26609	CWE-284
CVE-2025-26610	CWE-89
CVE-2025-26611	CWE-89
CVE-2025-26611	CWE-284
CVE-2025-26612	CWE-89
CVE-2025-26613	CWE-78
CVE-2025-26613	CWE-284
CVE-2025-26614	CWE-89
CVE-2025-26615	CWE-22
CVE-2025-26615	CWE-284
CVE-2025-26616	CWE-22
CVE-2025-26616	CWE-284
CVE-2025-26617	CWE-89
CVE-2025-26617	CWE-284
CVE-2025-26620	CWE-367
CVE-2025-26623	CWE-416
CVE-2025-26624	CWE-427
CVE-2025-26624	CWE-426
CVE-2025-26627	CWE-77
CVE-2025-26629	CWE-416
CVE-2025-26630	CWE-416
CVE-2025-26631	CWE-427
CVE-2025-26633	CWE-707
CVE-2025-26634	CWE-122
CVE-2025-26645	CWE-284
CVE-2025-26645	CWE-23
CVE-2025-26655	CWE-862
CVE-2025-26656	CWE-862
CVE-2025-26658	CWE-384
CVE-2025-26659	CWE-79
CVE-2025-26660	CWE-639
CVE-2025-26661	CWE-862
CVE-2025-26698	CWE-669
CVE-2025-26700	CWE-288
CVE-2025-26750	CWE-862
CVE-2025-26751	CWE-79
CVE-2025-26752	CWE-22
CVE-2025-26753	CWE-22
CVE-2025-26754	CWE-79
CVE-2025-26755	CWE-89
